English,Thai
master,ผู้เชี่ยวชาญ
cry,ร้องไห้
scale,มาตราส่วน
resident,ผู้อยู่อาศัย
football,ฟุตบอล
sweet,หวาน
failure,ความล้มเหลว
reporter,ผู้สื่อข่าว
commit,ให้สัญญา
fight,ต่อสู้
one,หนึ่ง
associate,เชื่อมโยง
vision,วิสัยทัศน์
function,การทำงาน
truly,อย่างแท้จริง
sick,ป่วย
average,เฉลี่ย
human,มนุษย์
stupid,โง่
will,จะ
chinese,ชาวจีน
connection,การเชื่อมต่อ
camp,ค่าย
stone,หิน
hundred,ร้อย
key,สำคัญ
truck,รถบรรทุก
afternoon,ตอนบ่าย
responsible,รับผิดชอบ
secretary,เลขานุการ
apparently,เห็นได้ชัดว่า
smart,ปราดเปรื่อง
southern,ภาคใต้
totally,โดยสิ้นเชิง
western,ทางทิศตะวันตก
collect,เก็บรวบรวม
conflict,ขัดแย้ง
burn,เผา
learning,การเรียนรู้
wake,ตื่น
contribute,มีส่วนช่วย
ride,ขี่
british,ชาวอังกฤษ
following,กำลังติดตาม
order,คำสั่ง
share,แบ่งปัน
newspaper,หนังสือพิมพ์
foundation,พื้นฐาน
variety,ความหลากหลาย
perspective,ทัศนคติ
document,เอกสาร
presence,การมีอยู่
stare,จ้อง
lesson,บทเรียน
limit,จำกัด
appreciate,ชื่นชม
complete,สมบูรณ์
observe,สังเกต
currently,ตอนนี้
hundred,ร้อย
fun,สนุก
crowd,ฝูงชน
attack,จู่โจม
apartment,อพาร์ทเม้น
survive,รอดชีวิต
guest,แขก
soul,วิญญาณ
protection,การป้องกัน
intelligence,ปัญญา
yesterday,เมื่อวาน
somewhere,ที่ไหนสักแห่ง
border,ชายแดน
reading,การอ่าน
terms,คำศัพท์
leadership,ความเป็นผู้นำ
present,ปัจจุบัน
chief,หัวหน้า
attitude,ทัศนคติ
start,เริ่ม
um,อืม
deny,ปฏิเสธ
website,เว็บไซต์
seriously,อย่างจริงจัง
actual,แท้จริง
recall,จำ
fix,แก้ไข
negative,เชิงลบ
connect,เชื่อมต่อ
distance,ระยะทาง
regular,ปกติ
climate,ภูมิอากาศ
relation,ความสัมพันธ์
flight,เที่ยวบิน
dangerous,อันตราย
boat,เรือ
aspect,ด้าน
grab,คว้า
until,จนกระทั่ง
favorite,ที่ชื่นชอบ
like,ชอบ
january,มกราคม
independent,เป็นอิสระ
volume,ปริมาณ
am,เช้า
lots,จำนวนมาก
front,ด้านหน้า
online,ออนไลน์
theater,โรงภาพยนตร์
speed,ความเร็ว
aware,รับรู้
identity,ตัวตน
demand,ความต้องการ
extra,พิเศษ
charge,ค่าใช้จ่าย
guard,อารักขา
demonstrate,สาธิต
fully,อย่างเต็มที่
tuesday,วันอังคาร
facility,สิ่งอำนวยความสะดวก
farm,ฟาร์ม
mind,จิตใจ
fun,สนุก
thousand,พัน
august,สิงหาคม
hire,จ้าง
light,แสงสว่าง
link,การเชื่อมโยง
shoe,รองเท้า
institute,สถาบัน
below,ด้านล่าง
living,การดำรงชีวิต
european,เกี่ยวกับยุโรป
quarter,หนึ่งในสี่
basically,โดยทั่วไป
forest,ป่า
multiple,หลายรายการ
poll,การสำรวจความคิดเห็น
wild,ป่า
measure,วัด
twice,สองครั้ง
cross,ข้าม
background,พื้นหลัง
settle,ชำระ
winter,ฤดูหนาว
focus,จุดสนใจ
presidential,เกี่ยวกับประธานาธิบดี
operate,ดำเนินงาน
fuck,มีเพศสัมพันธ์
view,ดู
daily,รายวัน
shop,ร้านค้า
above,ข้างบน
division,แผนก
slowly,ช้า
advice,คำแนะนำ
reaction,ปฏิกิริยา
injury,บาดเจ็บ
it,มัน
ticket,ตั๋ว
grade,ระดับ
wow,ว้าว
birth,การเกิด
painting,จิตรกรรม
outcome,ผล
enemy,ศัตรู
damage,ความเสียหาย
being,สิ่งมีชีวิต
storm,พายุ
shape,รูปร่าง
bowl,ชาม
commission,คณะกรรมการ
captain,กัปตัน
ear,หู
troop,กองทหาร
female,หญิง
wood,ไม้
warm,อบอุ่น
clean,ทำความสะอาด
lead,ตะกั่ว
minister,รัฐมนตรีว่าการกระทรวง
neighbor,เพื่อนบ้าน
tiny,ขนาดเล็ก
mental,จิต
software,ซอฟต์แวร์
glad,ยินดี
finding,การค้นพบ
lord,ขุนนาง
drive,ขับ
temperature,อุณหภูมิ
quiet,เงียบ
spread,การแพร่กระจาย
bright,สว่าง
cut,ตัด
influence,อิทธิพล
kick,เตะ
annual,ประจำปี
procedure,ขั้นตอน
respect,เคารพ
wave,คลื่น
tradition,ธรรมเนียม
threaten,ข่มขู่
primary,หลัก
strange,แปลก
actor,นักแสดงชาย
blame,ตำหนิ
active,คล่องแคล่ว
cat,แมว
depend,ขึ้นอยู่กับ
bus,รสบัส
clothes,เสื้อผ้า
affair,ธุระ
contact,ติดต่อ
category,หมวดหมู่
topic,หัวข้อ
victory,ชัยชนะ
direct,โดยตรง
towards,ต่อ
map,แผนที่
egg,ไข่
ensure,ทำให้มั่นใจ
general,ทั่วไป
expression,การแสดงออก
past,อดีต
session,การประชุม
competition,การแข่งขัน
possibly,อาจจะ
technique,เทคนิค
mine,ของฉัน
average,เฉลี่ย
intend,ตั้งใจ
impossible,เป็นไปไม่ได้
moral,ศีลธรรม
academic,เชิงวิชาการ
wine,ไวน์
approach,เข้าใกล้
somehow,อย่างใด
gather,รวมตัว
scientific,เกี่ยวกับวิทยาศาสตร์
african,เกี่ยวกับแอฟริกา
cook,ทำอาหาร
participate,เข้าร่วม
gay,เกย์
appropriate,เหมาะสม
youth,ความเยาว์
dress,ชุด
straight,ตรง
weather,สภาพอากาศ
recommend,แนะนำ
medicine,ยา
novel,นิยาย
obvious,ชัดเจน
thursday,วันพฤหัสบดี
exchange,แลกเปลี่ยน
explore,สำรวจ
extend,ขยาย
bay,อ่าว
invite,เชิญ
tie,ผูก
ah,อา
belong,เป็นของ
obtain,รับ
broad,กว้าง
conclusion,บทสรุป
progress,ความคืบหน้า
surprise,เซอร์ไพรส์
assessment,การประเมิน
smile,รอยยิ้ม
feature,คุณสมบัติ
cash,เงินสด
defend,ปกป้อง
pound,ปอนด์
correct,ถูกต้อง
married,แต่งงานแล้ว
pair,คู่
slightly,เล็กน้อย
loan,เงินกู้
village,หมู่บ้าน
half,ครึ่ง
suit,สูท
demand,ความต้องการ
historical,เกี่ยวกับประวัติศาสตร์
meaning,ความหมาย
attempt,พยายาม
supply,จัดหา
lift,ยก
ourselves,ตัวเราเอง
honey,น้ำผึ้ง
bone,กระดูก
consequence,ผลที่ตามมา
unique,มีเอกลักษณ์
next,ต่อไป
regulation,ระเบียบข้อบังคับ
award,รางวัล
bottom,ด้านล่าง
excuse,ขอโทษ
familiar,คุ้นเคย
classroom,ห้องเรียน
search,ค้นหา
reference,อ้างอิง
emerge,เกิดขึ้น
long,ยาว
lunch,อาหารกลางวัน
judge,ผู้พิพากษา
ad,คำโฆษณา
desire,ความต้องการ
instruction,คำแนะนำ
emergency,ภาวะฉุกเฉิน
thinking,ความคิด
tour,การท่องเที่ยว
french,ภาษาฝรั่งเศส
combine,รวมกัน
moon,ดวงจันทร์
sad,เศร้า
address,ที่อยู่
december,ธันวาคม
anywhere,ทุกที่
chicken,ไก่
fuel,เชื้อเพลิง
train,รถไฟ
abuse,ใช้ในทางที่ผิด
construction,การก่อสร้าง
wednesday,วันพุธ
link,การเชื่อมโยง
deserve,สมควรได้รับ
famous,มีชื่อเสียง
intervention,การแทรกแซง
grand,ใหญ่โต
visit,เยี่ยม
confirm,ยืนยัน
lucky,โชคดี
insist,ยืนกราน
coast,ชายฝั่ง
proud,ภูมิใจ
cover,ปิดบัง
fourth,ที่สี่
cop,ตำรวจ
angry,โกรธ
native,พื้นเมือง
supreme,สูงสุด
baseball,เบสบอล
but,แต่
email,อีเมล
accident,อุบัติเหตุ
front,ด้านหน้า
duty,หน้าที่
growing,การเติบโต
struggle,การต่อสู้
revenue,รายได้
expand,ขยาย
chief,หัวหน้า
launch,ปล่อย
trend,แนวโน้ม
ring,แหวน
repeat,ทำซ้ำ
breath,ลมหายใจ
inch,นิ้ว
neck,คอ
core,แกนกลาง
terrible,ย่ำแย่
billion,พันล้าน
relatively,อย่างค่อนข้าง
complex,ซับซ้อน
press,กด
miss,นางสาว
slow,ช้า
soft,อ่อนนุ่ม
generate,สร้าง
extremely,อย่างที่สุด
last,ล่าสุด
drink,ดื่ม
forever,ตลอดไป
corporate,ขององค์กร
deep,ลึก
prefer,ชอบมากกว่า
except,ยกเว้น
cheap,ราคาถูก
literature,วรรณกรรม
direct,โดยตรง
mayor,นายกเทศมนตรี
male,ชาย
importance,ความสำคัญ
record,บันทึก
danger,อันตราย
emotional,ทางอารมณ์
knee,เข่า
ass,ตูด
capture,การจับกุม
traffic,การจราจร
fucking,ร่วมเพศ
outside,ข้างนอก
now,ตอนนี้
train,รถไฟ
plate,จาน
equipment,อุปกรณ์
select,เลือก
file,ไฟล์
studio,สตูดิโอ
expensive,แพง
secret,ความลับ
engine,เครื่องยนต์
adopt,รับเลี้ยง
luck,โชค
via,ทาง
pm,น.
panel,แผงหน้าปัด
hero,ฮีโร่
circle,วงกลม
critic,นักวิจารณ์
solve,แก้ปัญหา
busy,ยุ่ง
episode,ตอน
back,กลับ
check,ตรวจสอบ
requirement,ความต้องการ
politician,นักการเมือง
rain,ฝน
colleague,เพื่อนร่วมงาน
disappear,หายไป
beer,เบียร์
predict,ทำนาย
exercise,ออกกำลังกาย
tired,เหนื่อย
democracy,ประชาธิปไตย
ultimately,ในที่สุด
setting,การตั้งค่า
honor,ให้เกียรติ
works,ผลงาน
unfortunately,น่าเสียดาย
theme,ธีม
issue,ปัญหา
male,ชาย
clean,ทำความสะอาด
united,รวมกัน
pool,สระน้ำ
educational,เกี่ยวกับการศึกษา
empty,ว่างเปล่า
comfortable,สะดวกสบาย
investigate,สอบสวน
useful,มีประโยชน์
pocket,กระเป๋า
digital,ดิจิทัล
plenty,มากมาย
entirely,อย่างสมบูรณ์
fear,กลัว
afford,จ่ายได้
sugar,น้ำตาล
teaching,การสอน
conservative,ซึ่งอนุรักษ์นิยม
chairman,ประธาน
error,ข้อผิดพลาด
bridge,สะพาน
tall,สูง
specifically,โดยเฉพาะ
flower,ดอกไม้
though,แม้ว่า
universe,จักรวาล
live,สด
acknowledge,รับทราบ
limit,จำกัด
coverage,ความครอบคลุม
crew,ลูกทีม
locate,หาตำแหน่ง
balance,สมดุล
equal,เท่ากัน
lip,ริมฝีปาก
lean,เอียง
zone,โซน
wedding,งานแต่งงาน
copy,สำเนา
score,คะแนน
joke,เรื่องตลก
used,ใช้แล้ว
clear,ชัดเจน
bear,หมี
meal,มื้อ
review,ทบทวน
minority,ชนกลุ่มน้อย
sight,ภาพ
sleep,นอน
russian,ชาวรัสเซีย
dress,ชุด
release,ปล่อย
soviet,สหภาพโซเวียต
profit,กำไร
challenge,ท้าทาย
careful,ระมัดระวัง
gender,เพศ
tape,เทป
ocean,มหาสมุทร
unidentified,ไม่ปรากฏชื่อ
host,เจ้าภาพ
grant,ยินยอม
circumstance,สถานการณ์
late,ช้า
boss,เจ้านาย
declare,ประกาศ
domestic,ภายในประเทศ
tea,ชา
organize,จัดระเบียบ
english,ภาษาอังกฤษ
neither,ไม่ใช่ทั้งสองอย่าง
either,ทั้ง
official,เป็นทางการ
surround,ล้อมรอบ
manner,มารยาท
surprised,น่าประหลาดใจ
percentage,เปอร์เซ็นต์
massive,มโหฬาร
cloud,คลาวด์
winner,ผู้ชนะ
honest,ซื่อสัตย์
standard,มาตรฐาน
propose,เสนอ
rely,พึ่งพา
plus,บวก
sentence,ประโยค
request,ขอ
appearance,รูปร่าง
regarding,เกี่ยวกับ
excellent,ยอดเยี่ยม
criminal,อาชญากร
salt,เกลือ
beauty,ความงาม
bottle,ขวด
component,ส่วนประกอบ
under,ภายใต้
fee,ค่าธรรมเนียม
jewish,ชาวยิว
yours,ของคุณ
dry,แห้ง
dance,เต้นรำ
shirt,เสื้อ
tip,เคล็ดลับ
plastic,พลาสติก
indian,เกี่ยวกับประเทศอินเดีย
mark,เครื่องหมาย
tooth,ฟัน
meat,เนื้อ
stress,ความเครียด
illegal,ผิดกฎหมาย
significantly,อย่างสำคัญ
february,กุมภาพันธ์
constitution,รัฐธรรมนูญ
definition,คำนิยาม
uncle,ลุง
metal,โลหะ
album,อัลบั้ม
self,ตัวเอง
suppose,สมมติ
investor,นักลงทุน
fruit,ผลไม้
holy,ศักดิ์สิทธิ์
desk,โต๊ะ
eastern,ภาคตะวันออก
valley,หุบเขา
largely,ส่วนใหญ่
abortion,การทำแท้ง
chapter,บท
commitment,ความมุ่งมั่น
celebrate,ฉลอง
arrest,จับกุม
dance,เต้นรำ
prime,นายก
urban,ในเมือง
internal,ภายใน
bother,รบกวน
proposal,ข้อเสนอ
shift,กะ
capacity,ความจุ
guilty,รู้สึกผิด
warn,เตือน
influence,อิทธิพล
weak,อ่อนแอ
except,ยกเว้น
catholic,คาทอลิก
nose,จมูก
variable,ตัวแปร
convention,การประชุม
jury,คณะลูกขุน
root,ราก
incident,เหตุการณ์
climb,ปีน
hearing,การได้ยิน
everywhere,ทุกที่
payment,การชำระเงิน
bear,หมี
conclude,สรุป
scream,กรีดร้อง
surgery,การผ่าตัด
shadow,เงา
witness,พยาน
increasingly,มากขึ้น
chest,หน้าอก
amendment,การแก้ไข
paint,สี
secret,ความลับ
complain,ร้องทุกข์
extent,ขอบเขต
pleasure,ความพึงพอใจ
nod,พยักหน้า
holiday,วันหยุด
super,สุดยอด
talent,ความสามารถพิเศษ
necessarily,อย่างจำเป็น
liberal,เสรีนิยม
expectation,ความคาดหวัง
ride,ขี่
accuse,กล่าวโทษ
knock,เคาะ
previously,ก่อนหน้านี้
wing,ปีก
corporation,บริษัท
sector,ภาค
fat,อ้วน
experiment,การทดลอง
match,จับคู่
thin,บาง
farmer,ชาวนา
rare,หายาก
english,ภาษาอังกฤษ
confidence,ความมั่นใจ
bunch,กลุ่ม
bet,เดิมพัน
cite,อ้างถึง
northern,ทางเหนือ
speaker,ลำโพง
breast,หน้าอก
contribution,ผลงาน
leaf,ใบไม้
creative,ความคิดสร้างสรรค์
interaction,ปฏิสัมพันธ์
hat,หมวก
doubt,สงสัย
promise,สัญญา
pursue,ไล่ตาม
overall,โดยรวม
nurse,พยาบาล
question,คำถาม
long-term,ระยะยาว
gene,ยีน
package,บรรจุุภัณฑ์
weird,แปลก
difficulty,ความยากลำบาก
hardly,แทบจะไม่
daddy,พ่อ
estimate,ประมาณการ
list,รายการ
era,ยุค
comment,การแสดงความคิดเห็น
aid,การช่วยเหลือ
vs,Vs
invest,ลงทุน
personally,ส่วนตัว
notion,ความคิด
explanation,คำอธิบาย
airport,สนามบิน
chain,โซ่
expose,เปิดเผย
lock,ล็อค
convince,โน้มน้าวใจ
channel,ช่อง
carefully,อย่างระมัดระวัง
tear,น้ำตา
estate,อสังหาริมทรัพย์
initial,อักษรย่อ
offer,เสนอ
purchase,ซื้อ
guide,แนะนำ
forth,ออกไป
his,ของเขา
bond,พันธะ
birthday,วันเกิด
travel,การท่องเที่ยว
pray,อธิษฐาน
improvement,การปรับปรุง
ancient,โบราณ
ought,ควร
escape,หนี
trail,เส้นทาง
brown,สีน้ำตาล
fashion,แฟชั่น
length,ความยาว
sheet,แผ่น
funding,เงินทุน
meanwhile,ในขณะเดียวกัน
fault,ความผิดพลาด
barely,แทบจะไม่
eliminate,กำจัด
motion,การเคลื่อนไหว
essential,จำเป็น
apart,ห่างกัน
combination,การผสมผสาน
limited,ถูก จำกัด
description,คำอธิบาย
mix,ผสม
snow,หิมะ
implement,ดำเนินการ
pretty,สวย
proper,เหมาะสม
part,ส่วนหนึ่ง
marketing,การตลาด
approve,อนุมัติ
other,อื่น
bomb,ระเบิด
slip,ลื่น
regional,เกี่ยวกับภูมิภาค
lack,ขาด
muscle,กล้ามเนื้อ
contact,ติดต่อ
rise,ลุกขึ้น
FALSE,เท็จ
likely,มีแนวโน้ม
creation,การสร้าง
typically,โดยทั่วไป
spending,การใช้จ่าย
instrument,อุปกรณ์
mass,มวล
far,ไกล
thick,หนา
kiss,จูบ
increased,เพิ่มขึ้น
inspire,สร้างแรงบันดาลใจ
separate,แยก
noise,เสียงรบกวน
yellow,สีเหลือง
aim,จุดมุ่งหมาย
e-mail,อีเมล
cycle,รอบ
signal,สัญญาณ
app,แอป
golden,สีทอง
reject,ปฏิเสธ
inform,แจ้ง
perception,การรับรู้
visitor,ผู้มาเยือน
cast,หล่อ
contrast,ตัดกัน
judgment,การตัดสิน
mean,หมายถึง
rest,พักผ่อน
representative,ตัวแทน
pass,ผ่าน
regime,ระบอบการปกครอง
merely,เป็นเพียง
producer,ผู้ผลิต
whoa,โว้ว
route,เส้นทาง
lie,โกหก
typical,ทั่วไป
analyst,นักวิเคราะห์
account,บัญชี
elect,เลือก
smell,กลิ่น
female,หญิง
living,การดำรงชีวิต
disability,ความพิการ
comparison,การเปรียบเทียบ
hand,มือ
rating,การให้คะแนน
campus,วิทยาเขต
assess,ประเมิน
solid,แข็ง
branch,สาขา
mad,โกรธ
somewhat,ค่อนข้าง
gentleman,สุภาพบุรุษ
opposition,ฝ่ายค้าน
fast,เร็ว
suspect,สงสัย
land,ที่ดิน
hit,ตี
aside,นอกเหนือจาก
athlete,นักกีฬา
opening,การเปิด
prayer,คำอธิษฐาน
frequently,บ่อย
employ,จ้าง
basketball,บาสเกตบอล
existing,ที่มีอยู่เดิม
revolution,การปฎิวัติ
click,คลิก
emotion,อารมณ์
fuck,มีเพศสัมพันธ์
platform,แพลตฟอร์ม
behind,ด้านหลัง
frame,กรอบ
appeal,อุทธรณ์
quote,อ้าง
potential,ศักยภาพ
struggle,การต่อสู้
brand,ยี่ห้อ
enable,เปิดใช้งาน
legislation,การออกกฎหมาย
addition,ส่วนที่เพิ่มเข้าไป
lab,ห้องทดลอง
oppose,ต่อต้าน
row,แถว
immigration,การตรวจคนเข้าเมือง
asset,สินทรัพย์
observation,การสังเกตการณ์
online,ออนไลน์
taste,รสชาติ
decline,ปฏิเสธ
attract,ดึงดูด
ha,ฮา
for,สำหรับ
household,ครัวเรือน
separate,แยก
breathe,หายใจ
existence,การดำรงอยู่
mirror,กระจกเงา
pilot,นักบิน
stand,ยืน
relief,การบรรเทา
milk,น้ำนม
warning,คำเตือน
heaven,สวรรค์
flow,ไหล
literally,อย่างแท้จริง
quit,ล้มเลิก
calorie,แคลอรี่
seed,เมล็ด
vast,กว้างใหญ่
bike,จักรยาน
german,ชาวเยอรมัน
employer,นายจ้าง
drag,ลาก
technical,เกี่ยวกับเทคนิค
disaster,ภัยพิบัติ
display,แสดง
sale,ขาย
bathroom,ห้องน้ำ
succeed,สำเร็จ
consistent,สม่ำเสมอ
agenda,กำหนดการ
enforcement,การบังคับใช้
diet,อาหาร
mark,เครื่องหมาย
silence,ความเงียบ
journalist,นักข่าว
bible,คัมภีร์ไบเบิล
queen,ราชินี
divide,แบ่ง
expense,ค่าใช้จ่าย
cream,ครีม
exposure,การรับสัมผัสเชื้อ
priority,ลำดับความสำคัญ
soil,ดิน
angel,นางฟ้า
journey,การเดินทาง
trust,เชื่อมั่น
relevant,ที่เกี่ยวข้อง
tank,ถัง
cheese,ชีส
schedule,กำหนดการ
bedroom,ห้องนอน
tone,โทน
selection,การเลือก
date,วันที่
perfectly,อย่างสมบูรณ์
wheel,ล้อ
gap,ช่องว่าง
veteran,ทหารผ่านศึก
below,ด้านล่าง
disagree,ไม่เห็นด้วย
characteristic,มีลักษณะเฉพาะ
protein,โปรตีน
resolution,ปณิธาน
whole,ทั้งหมด
regard,คำนึงถึง
fewer,น้อยลง
engineer,วิศวกร
walk,เดิน
dish,จาน
waste,ของเสีย
print,พิมพ์
depression,ภาวะซึมเศร้า
dude,เพื่อน
fat,อ้วน
present,ปัจจุบัน
upper,ด้านบน
wrap,ห่อ
ceo,ผู้บริหารสูงสุด
visual,ภาพ
initiative,ความคิดริเริ่ม
rush,รีบ
gate,ประตู
slow,ช้า
whenever,เมื่อใดก็ตาม
entry,รายการ
japanese,ญี่ปุ่น
gray,สีเทา
assistance,ความช่วยเหลือ
height,ความสูง
compete,แข่งขัน
rule,กฎ
due,เนื่องจาก
essentially,เป็นหลัก
benefit,ผลประโยชน์
phase,ขั้นตอน
conservative,ซึ่งอนุรักษ์นิยม
recover,ฟื้นตัว
criticism,คำวิจารณ์
faculty,คณะ
achievement,ความสำเร็จ
alcohol,แอลกอฮอล์
therapy,การบำบัด
offense,ความผิด
touch,สัมผัส
killer,นักฆ่า
personality,บุคลิกภาพ
landscape,ภูมิประเทศ
deeply,ลึกล้ำ
reasonable,มีเหตุผล
soon,เร็วๆ นี้
suck,ดูด
transition,การเปลี่ยนแปลง
fairly,อย่างเป็นธรรม
column,คอลัมน์
wash,ล้าง
button,ปุ่ม
opponent,คู่ต่อสู้
pour,เท
immigrant,ผู้อพยพ
first,อันดับแรก
distribution,การกระจาย
golf,กอล์ฟ
pregnant,ตั้งครรภ์
unable,ไม่สามารถ
alternative,ทางเลือก
favorite,ที่ชื่นชอบ
stop,หยุด
violent,รุนแรง
portion,ส่วน
acquire,ได้รับ
suicide,การฆ่าตัวตาย
stretch,ยืด
deficit,การขาดดุล
symptom,อาการ
solar,แสงอาทิตย์
complaint,ร้องเรียน
capable,มีความสามารถ
analyze,วิเคราะห์
scared,กลัว
supporter,ผู้สนับสนุน
dig,ขุด
twenty,ยี่สิบ
pretend,แกล้งทำ
philosophy,ปรัชญา
childhood,วัยเด็ก
lower,ต่ำกว่า
well,ดี
outside,ข้างนอก
dark,มืด
wealth,ความมั่งคั่ง
welfare,สวัสดิการ
poverty,ความยากจน
prosecutor,อัยการ
spiritual,เกี่ยวกับจิตวิญญาณ
double,สองเท่า
evaluate,ประเมิน
mass,มวล
israeli,ชาวอิสราเอล
shift,กะ
reply,ตอบ
buck,เจ้าชู้
display,แสดง
knife,มีด
round,กลม
tech,เทค
detective,นักสืบ
pack,หีบห่อ
disorder,ความยุ่งเหยิง
creature,สิ่งมีชีวิต
tear,น้ำตา
closely,อย่างใกล้ชิด
industrial,ทางอุตสาหกรรม
housing,ที่อยู่อาศัย
watch,ดู
chip,ชิป
regardless,โดยไม่คำนึงถึง
numerous,มากมาย
tie,ผูก
range,พิสัย
command,สั่งการ
shooting,การยิง
dozen,โหล
pop,โผล่
layer,ชั้น
bread,ขนมปัง
exception,ข้อยกเว้น
passion,ความหลงใหล
block,ปิดกั้น
highway,ทางหลวง
pure,บริสุทธิ์
commander,ผู้บังคับบัญชา
extreme,สุดขีด
publication,สิ่งพิมพ์
vice,รอง
fellow,เพื่อน
win,ชนะ
mystery,ความลึกลับ
championship,การแข่งขันชิงแชมป์
install,ติดตั้ง
tale,นิทาน
liberty,เสรีภาพ
host,เจ้าภาพ
beneath,ข้างใต้
passenger,ผู้โดยสาร
physician,แพทย์
graduate,เรียนจบ
sharp,คม
substance,สาร
atmosphere,บรรยากาศ
stir,คน
muslim,มุสลิม
passage,ทางเดิน
pepper,พริกไทย
emphasize,เน้นย้ำ
cable,สายเคเบิล
square,สี่เหลี่ยม
recipe,สูตรอาหาร
load,การโหลด
beside,ข้าง
roof,หลังคา
vegetable,ผัก
accomplish,ทำให้สำเร็จ
silent,เงียบ
habit,นิสัย
discovery,การค้นพบ
total,ทั้งหมด
recovery,การกู้คืน
dna,ดีเอ็นเอ
gain,ได้รับ
territory,อาณาเขต
girlfriend,แฟน
consist,ประกอบด้วย
straight,ตรง
surely,อย่างแน่นอน
proof,การพิสูจน์
nervous,ประหม่า
immediate,ทันที
parking,ที่จอดรถ
sin,บาป
unusual,ผิดปกติ
rice,ข้าว
engineering,วิศวกรรม
advance,ก้าวหน้า
interview,สัมภาษณ์
bury,ฝัง
still,นิ่ง
cake,เค้ก
anonymous,ไม่ระบุชื่อ
flag,ธง
contemporary,ร่วมสมัย
good,ดี
jail,คุก
rural,ชนบท
match,จับคู่
coach,โค้ช
interpretation,การตีความ
wage,ค่าจ้าง
breakfast,อาหารเช้า
severe,รุนแรง
profile,ประวัติโดยย่อ
saving,ประหยัด
brief,รวบรัด
adjust,ปรับ
reduction,การลดน้อยลง
constantly,อย่างสม่ำเสมอ
assist,ช่วยเหลือ
bitch,ผู้หญิงเลว
constant,คงที่
permit,อนุญาต
primarily,โดยเฉพาะอย่างยิ่ง
entertainment,ความบันเทิง
shout,ตะโกน
academy,สถาบันการศึกษา
teaspoon,ช้อนชา
dream,ฝัน
transfer,โอนย้าย
usual,ตามปกติ
ally,พันธมิตร
clinical,เกี่ยวกับคลินิก
count,นับ
swear,สาบาน
avenue,ถนน
priest,นักบวช
employment,การจ้างงาน
waste,ของเสีย
relax,ผ่อนคลาย
owe,เป็นหนี้
transform,แปลง
grass,หญ้า
narrow,แคบ
ethnic,เกี่ยวกับชาติพันธุ์
scholar,นักวิชาการ
edition,รุ่น
abandon,ละทิ้ง
practical,ใช้ได้จริง
infection,การติดเชื้อ
musical,ดนตรี
suggestion,คำแนะนำ
resistance,ความต้านทาน
smoke,ควัน
prince,เจ้าชาย
illness,การเจ็บป่วย
embrace,โอบกอด
trade,ซื้อขาย
republic,สาธารณรัฐ
volunteer,อาสาสมัคร
target,เป้า
general,ทั่วไป
evaluation,การประเมิน
mine,ของฉัน
opposite,ตรงข้าม
awesome,สุดยอด
switch,สวิตช์
black,สีดำ
iraqi,อิรัก
iron,เหล็ก
perceive,รับรู้
fundamental,พื้นฐาน
phrase,วลี
assumption,การสันนิษฐาน
sand,ทราย
designer,นักออกแบบ
planning,การวางแผน
leading,เป็นผู้นำ
mode,โหมด
track,ติดตาม
respect,เคารพ
widely,อย่างกว้างขวาง
occasion,โอกาส
pose,ท่าทาง
approximately,ประมาณ
retire,เกษียณอายุ
elsewhere,ที่อื่น
festival,งานเทศกาล
cap,หมวก
secure,ปลอดภัย
attach,แนบ
mechanism,กลไก
intention,เจตนา
scenario,สถานการณ์
yell,ตะโกน
incredible,เหลือเชื่อ
spanish,ภาษาสเปน
strongly,อย่างเข้มงวด
racial,เกี่ยวกับเชื้อชาติ
transportation,การขนส่ง
pot,หม้อ
boyfriend,แฟน
consideration,การพิจารณา
prior,ก่อน
retirement,การเกษียณอายุ
rarely,นานๆ ครั้ง
joint,ร่วมกัน
doubt,สงสัย
preserve,อนุรักษ์
enormous,มหาศาล
cigarette,บุหรี่
factory,โรงงาน
valuable,มีค่า
clip,คลิป
electric,มีไฟฟ้า
giant,ยักษ์
slave,ทาส
submit,ส่ง
effectively,อย่างมีประสิทธิภาพ
christian,คริสเตียน
monitor,เฝ้าสังเกต
wonder,สิ่งมหัศจรรย์
resolve,แก้ไข
remaining,ที่เหลืออยู่
participation,การเข้าร่วม
stream,ลำธาร
rid,กำจัด
origin,ต้นทาง
teen,วัยรุ่น
particular,โดยเฉพาะ
congressional,เกี่ยวกับรัฐสภา
bind,ผูก
coat,เสื้อโค้ท
tower,หอคอย
license,ใบอนุญาต
twitter,Twitter
impose,กำหนด
innocent,ผู้บริสุทธิ์
curriculum,หลักสูตร
mail,ส่งจดหมาย
estimate,ประมาณการ
insight,ข้อมูลเชิงลึก
investigator,ผู้ตรวจสอบ
virus,ไวรัส
hurricane,พายุเฮอร์ริเคน
accurate,แม่นยำ
provision,ข้อกำหนด
strike,โจมตี
communicate,สื่อสาร
cross,ข้าม
vary,ต่างกันไป
jacket,เสื้อแจ็กเกต
increasing,ที่เพิ่มขึ้น
green,สีเขียว
equally,อย่างเท่าเทียมกัน
pay,จ่าย
in,ใน
light,แสงสว่าง
implication,ความหมาย
fiction,นิยาย
protest,ประท้วง
mama,แม่
imply,บอกเป็นนัย
twin,แฝด
pant,กางเกง
another,อื่น
ahead,ข้างหน้า
